movie,year,rating,genre,runtime_min,imdb_rating,metascore,votes,id
Oppenheimer,2023,R,"['Biography', ' Drama', ' History']",180,8.6,88,320594,b52ab681-59c8-44e4-b96e-0a1d02a22af8
Barbie,2023,PG-13,"['Adventure', ' Comedy', ' Fantasy']",114,7.4,80,209614,0cc409a0-2cd0-4dca-bd42-d310cd3510e6
Guardians of the Galaxy Vol. 3,2023,PG-13,"['Action', ' Adventure', ' Comedy']",150,8.0,64,267307,afc56c9e-2af2-42ab-a8bf-1398c0f96110
Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,PG,"['Animation', ' Action', ' Adventure']",99,7.6,74,10423,92c0bab9-2640-4f16-9b88-d1d62ca4816a
Meg 2: The Trench,2023,PG-13,"['Action', ' Adventure', ' Horror']",116,5.5,41,10866,608f3a5a-e522-4ad2-977c-39a57f6e31da
Mission: Impossible - Dead Reckoning Part One,2023,PG-13,"['Action', ' Adventure', ' Thriller']",163,8.0,81,120160,06cce4ef-560d-4052-b04d-8c928a065177
Sound of Freedom,2023,PG-13,"['Action', ' Biography', ' Drama']",131,7.8,43,45907,ce69e490-3ab7-4c0a-b82a-8a2d86f720f0
Hidden Strike,2023,No rating,"['Action', ' Adventure', ' Comedy']",102,5.3,No score,9599,682dd9ad-5212-4884-b66e-51c0ee25bc87
Haunted Mansion,2023,PG-13,"['Comedy', ' Drama', ' Family']",123,6.3,48,7615,5e774adc-0b03-4500-a625-4a061cacd3d3
Happiness for Beginners,2023,No rating,"['Comedy', ' Drama', ' Romance']",103,6.1,48,7116,d1990051-599d-48cc-b708-0f54675d3dc4
Transformers: Rise of the Beasts,2023,PG-13,"['Action', ' Adventure', ' Sci-Fi']",127,6.1,42,68272,0a7cfda3-4b46-46a7-974e-f79a9c4aae4a
They Cloned Tyrone,2023,R,"['Action', ' Comedy', ' Mystery']",122,6.7,74,20324,bd5489b9-968f-442f-ae24-f4c6228b7f92
Paradise,2023,No rating,"['Action', ' Sci-Fi', ' Thriller']",117,6.3,No score,7383,d7a1c59f-1c9c-458f-acd2-4c8b1677903a
Insidious: The Red Door,2023,PG-13,"['Horror', ' Mystery', ' Thriller']",107,5.6,45,24900,58485b1f-0a64-433a-ab81-efb0d89fb6a6
The Little Mermaid,2023,PG,"['Adventure', ' Family', ' Fantasy']",135,7.2,59,107215,be6068d2-9ac3-4512-9a48-f75af3451de3
The Super Mario Bros. Movie,2023,PG,"['Animation', ' Adventure', ' Comedy']",92,7.1,46,174680,b8992b0d-87e1-4ace-a434-2692673a5965
The Flash,2023,PG-13,"['Action', ' Adventure', ' Fantasy']",144,6.9,56,134887,d2132b62-667e-4537-b6f6-bf5dc3b72b6f
Rocky Aur Rani Kii Prem Kahaani,2023,No rating,"['Comedy', ' Drama', ' Family']",168,7.3,No score,28560,af0ac596-4ced-4d85-9966-f405bdfa4749
Sympathy for the Devil,2023,No rating,"['Action', ' Thriller']",90,5.6,53,2917,388c31ef-ca08-475d-abff-c3d0f503f14d
Indiana Jones and the Dial of Destiny,2023,PG-13,"['Action', ' Adventure']",154,6.8,58,91674,90b26e1b-05a9-4e13-9a1a-cf107c5b521e
Asteroid City,2023,PG-13,"['Comedy', ' Drama', ' Romance']",105,6.7,74,56105,3d372e96-81f7-475b-bfc8-d8019275e1cf
Spider-Man: Across the Spider-Verse,2023,PG,"['Animation', ' Action', ' Adventure']",140,8.8,86,208969,5badae96-3074-488d-b7a5-542d8b271b31
Joy Ride,2023,R,['Comedy'],95,6.6,74,9885,e92a01e0-324b-4684-b8c5-e0d62423900f
The Beanie Bubble,2023,R,"['Comedy', ' Drama']",110,6.3,49,3575,407c6d46-ce4d-4bf0-a0df-e3d0ec6ed008
Miraculous - Le film,2023,PG,"['Animation', ' Action', ' Adventure']",105,6.2,No score,3384,d515c9dc-efb7-4ed7-9c18-c47c1f4c5594
John Wick: Chapter 4,2023,R,"['Action', ' Crime', ' Thriller']",169,7.8,78,258091,1a46cdd5-56dd-4234-a079-f29a8deca1de
Guy Ritchie's The Covenant,2023,R,"['Action', ' Thriller', ' War']",123,7.5,63,101212,6393ec56-8190-4181-9c4c-53356a947086
River Wild,2023,PG-13,['Thriller'],91,5.5,No score,1456,a02c318e-e3fb-411b-8c82-2ea33044a841
The Out-Laws,2023,R,"['Action', ' Comedy', ' Crime']",95,5.4,36,26287,4f9df628-2fb4-4fc9-8a50-76c62d19d3ec
No Hard Feelings,2023,R,"['Comedy', ' Romance']",103,6.7,59,25837,daef3b0a-33fe-404a-9148-8c2b504a7b66
Dungeons & Dragons: Honor Among Thieves,2023,12,"['Action', ' Adventure', ' Comedy']",134,7.3,72,162745,2821810f-94b9-421d-935b-2294c5bbbfa2
Knock at the Cabin,2023,R,"['Horror', ' Mystery', ' Thriller']",100,6.1,63,89020,c6fe06da-74f2-4473-b02c-3ab29bcf7a76
Elemental,2023,PG,"['Animation', ' Adventure', ' Comedy']",101,7.1,58,29795,68cdaffd-ae66-4966-8acc-794926e0556b
Gran Turismo,2023,PG-13,"['Action', ' Adventure', ' Drama']",135,7.0,47,1797,69d28da2-c89c-4e97-8c1e-833f6821e1b9
Culpa mía,2023,No rating,"['Drama', ' Romance']",117,6.2,No score,14873,0841cce8-c4bf-4b53-aa16-1e6a8676e859
The Last Voyage of the Demeter,2023,R,['Horror'],118,6.8,No score,175,f301cdfc-284b-4631-91f7-d54622891354
Fast X,2023,PG-13,"['Action', ' Adventure', ' Crime']",141,5.9,56,85692,e523d76c-8295-42a7-8aef-3d5a1597fdeb
Zoey 102,2023,No rating,"['Comedy', ' Drama', ' Family']",101,5.1,No score,1113,ae6e42fa-85bc-4fda-a9fb-ef249ff407af
Killers of the Flower Moon,2023,R,"['Crime', ' Drama', ' History']",206,No rating,No score,No votes,dfe736a6-31ce-4f40-99e8-4709fefbe7c9
Jesus Revolution,2023,PG-13,['Drama'],120,7.1,46,9960,2281ade8-e559-4c22-b014-3cca5ce31862
Evil Dead Rise,2023,16,['Horror'],96,6.6,69,105031,dbf896cd-73b0-4fd2-a6f3-d0366b5c23aa
Extraction 2,2023,R,"['Action', ' Thriller']",122,7.0,57,114613,10528495-d57d-4001-b35d-2472e9d7a5da
Soulcatcher,2023,No rating,"['Action', ' Adventure', ' Thriller']",98,3.8,No score,754,e62903e0-f3fe-4213-b5b0-600e1faa2b29
Resident Evil: Death Island,2023,R,"['Animation', ' Action', ' Adventure']",87,5.8,No score,4552,8decb23f-1f8e-4f1d-90fe-f920f917a231
Scream VI,2023,R,"['Horror', ' Mystery', ' Thriller']",122,6.5,61,93797,2f56cf7a-8d0e-42e2-802f-862f6e698298
Cobweb,2023,R,"['Horror', ' Thriller']",88,6.1,50,1286,5b2ef279-9448-435d-89b8-dc70826c10fb
